iter	Passed	Remaining
403	10148	14970
404	10178	14953
405	10219	14951
406	10229	14904
407	10261	14889
408	10296	14878
409	10312	14839
410	10339	14816
411	10363	14790
412	10383	14758
413	10413	14740
414	10437	14713
415	10461	14685
416	10486	14660
417	10498	14618
418	10528	14599
419	10553	14573
420	10581	14552
421	10595	14512
422	10616	14481
423	10636	14449
424	10666	14430
425	10691	14405
426	10721	14387
427	10753	14372
428	10785	14356
429	10819	14341
430	10846	14319
431	10872	14295
432	10899	14272
433	10922	14243
434	10948	14220
435	10972	14194
436	10997	14168
437	11024	14145
438	11046	14116
439	11070	14090
440	11091	14059
441	11121	14039
442	11145	14014
443	11169	13986
444	11190	13957
445	11211	13925
446	11224	13885
447	11246	13857
448	11272	13833
449	11306	13819
450	11350	13816
451	11396	13816
452	11444	13818
453	11492	13821
454	11528	13809
455	11566	13798
456	11614	13799
457	11652	13789
458	11685	13772
459	11712	13749
460	11744	13731
461	11773	13710
462	11795	13680
463	11824	13659
464	11845	13628
465	11868	13600
466	11890	13571
467	11914	13543
468	11940	13518
469	11961	13488
470	11985	13461
471	12004	13428
472	12031	13405
473	12060	13383
474	12079	13350
475	12105	13325
476	12125	13295
477	12150	13269
478	12170	13237
479	12193	13209
480	12218	13183
481	12246	13160
482	12272	13136
483	12293	13106
484	12331	13094
485	12407	13121
486	12441	13106
487	12476	13090
488	12535	13098
489	12596	13110
490	12651	13114
491	12703	13116
492	12766	13129
493	12800	13111
494	12826	13085
495	12852	13059
496	12881	13037
497	12912	13016
498	12945	12997
499	12978	12978
500	13008	12956
501	13047	12943
502	13080	12924
503	13128	12920
504	13182	12921
505	13224	12910
506	13262	12896
507	13365	12944
508	13426	12951
509	13470	12942
510	13549	12966
511	13622	12984
512	13691	12997
513	13747	12998
514	13794	12990
515	13841	12983
516	13877	12965
517	13911	12944
518	13943	12922
519	13963	12889
520	14002	12873
521	14035	12852
522	14071	12834
523	14111	12818
524	14152	12804
525	14186	12783
526	14221	12764
527	14267	12754
528	14313	12743
529	14364	12738
530	14416	12733
531	14456	12717
532	14496	12701
533	14534	12683
534	14572	12665
535	14606	12644
536	14643	12625
537	14677	12604
538	14720	12589
539	14756	12570
540	14789	12547
541	14820	12523
542	14863	12509
543	14905	12494
544	14947	12479
545	14981	12457
546	15019	12438
547	15044	12409
548	15079	12387
549	15121	12371
550	15159	12353
551	15200	12336
552	15235	12314
553	15272	12294
554	15307	12273
555	15341	12251
556	15379	12231
557	15385	12187
558	15416	12162
559	15453	12141
