iter	Logloss
440	0.1863188059
441	0.1861784195
442	0.1858041823
443	0.1856979052
444	0.1855850792
445	0.1854426119
446	0.1853846433
447	0.1850944662
448	0.1849914714
449	0.1849265629
450	0.1846750364
451	0.1844566319
452	0.1842396591
453	0.1840432731
454	0.183953007
455	0.1838058958
456	0.183608618
457	0.1833294984
458	0.1830933104
459	0.1830001844
460	0.1826685642
461	0.182430432
462	0.1821094646
463	0.1818797702
464	0.1817315243
465	0.1816218906
466	0.1813888498
467	0.181145562
468	0.1809639999
469	0.1807031193
470	0.1805355773
471	0.1803458762
472	0.1798891377
473	0.1797969596
474	0.1796082225
475	0.1794454773
476	0.1790776333
477	0.1787960483
478	0.1786494878
479	0.178327528
480	0.1781350169
481	0.1778210619
482	0.177713121
483	0.1776861074
484	0.1774842788
485	0.1773234086
486	0.1771120601
487	0.1768612257
488	0.1765741224
489	0.1764931524
490	0.1761378031
491	0.1759369466
492	0.1757195988
493	0.1755724545
494	0.1754587092
495	0.1753627535
496	0.1751477103
497	0.1749034561
498	0.1747027754
499	0.1744809578
500	0.1743626593
501	0.1740119724
502	0.17375607
503	0.1736187387
504	0.1735955793
505	0.1734337826
506	0.1734221557
507	0.1732862303
508	0.1729599077
509	0.1727759498
510	0.1724852228
511	0.1722899261
512	0.1720824892
513	0.1718358957
514	0.1717289073
515	0.1715040103
516	0.1712119229
517	0.1711116762
518	0.1709629143
519	0.1709526044
520	0.1707449445
521	0.1706170981
522	0.1702022289
523	0.1701228956
524	0.1700144986
525	0.1699345751
526	0.1696349181
527	0.1694260615
528	0.1693731921
529	0.1693069969
530	0.1691516987
531	0.1690205288
532	0.1688870962
533	0.168718608
534	0.1685192991
535	0.1683025529
536	0.1682406252
537	0.1680769683
538	0.1678779681
539	0.1676780361
540	0.1675546391
541	0.1673787179
542	0.1672173902
543	0.1670355407
544	0.1666800342
545	0.1663647194
546	0.1662409164
547	0.1661960222
548	0.1659663381
549	0.1656801677
550	0.1655251553
551	0.1653469431
552	0.1652532573
553	0.1651145006
554	0.1650123178
555	0.1646938541
556	0.1644287485
557	0.1644271602
558	0.1642226065
559	0.1638196172
560	0.1637869486
561	0.1635311305
562	0.1633044526
563	0.1631062677
564	0.1628762582
565	0.162643124
566	0.1625428693
567	0.1625362644
568	0.1623502714
569	0.1621848933
570	0.1620861844
571	0.1617918919
572	0.1616477576
573	0.1614389728
574	0.1613682307
575	0.1613253179
576	0.1613225348
577	0.1612807581
578	0.1611170871
579	0.1610915991
580	0.1609349516
581	0.1607838708
582	0.16062402
583	0.1604419692
584	0.1601118767
585	0.159939199
586	0.1597933465
587	0.1595605664
588	0.1594796961
589	0.1591415428
590	0.1590431292
591	0.1590132587
592	0.1588061699
593	0.1587065185
594	0.1585285913
595	0.1584551813
596	0.158320318
597	0.1582751429
598	0.1581567594
599	0.1580617208
600	0.1578042576
601	0.1576809859
602	0.1575503939
603	0.1574530066
604	0.1572721729
605	0.1572491781
606	0.1570013228
607	0.1567214496
608	0.1565777611
609	0.1564139155
610	0.1560945376
611	0.1558843716
612	0.1557285027
613	0.1556052293
614	0.1554126608
615	0.1552592499
616	0.1550803396
617	0.1549664135
618	0.1548256259
619	0.154644133
620	0.1544698457
621	0.1544136598
622	0.1541882834
623	0.1539946102
624	0.1538234788
625	0.1536263667
626	0.1536099114
627	0.1535117333
628	0.1533267302
629	0.1531906506
630	0.1530500506
631	0.1529828324
632	0.1526868512
633	0.1525629755
634	0.1524744167
635	0.1523061415
636	0.1521647498
637	0.1521622127
638	0.1520659202
639	0.1519815375
640	0.1518624502
641	0.1516655037
642	0.1514711098
643	0.1512523323
644	0.1510188332
645	0.1506880601
646	0.1504638845
647	0.1502085404
648	0.1498364585
649	0.1497773423
650	0.1496751771
651	0.1495491073
652	0.1493461851
653	0.1491822694
654	0.1490011563
655	0.148857984
656	0.1485588372
657	0.1484522432
658	0.1482935077
659	0.1481831503
660	0.1481631897
661	0.1480303581
662	0.1478586435
663	0.14769684
664	0.1476491541
665	0.147574447
666	0.1475487463
667	0.1475251973
668	0.1473645766
669	0.1472314148
670	0.1470792175
671	0.1469204775
672	0.1467355382
673	0.1466637294
674	0.1465755019
675	0.1465244143
676	0.1463662917
677	0.1462170158
678	0.1461026781
679	0.1460491431
680	0.1457964073
681	0.1456128502
682	0.1455092543
683	0.1453254237
684	0.1451387042
685	0.1450616467
686	0.1449383766
687	0.1449309704
688	0.1447806122
689	0.1444620477
690	0.1442805835
691	0.144228143
692	0.1439449518
693	0.1438535572
694	0.1437574755
695	0.14366599
696	0.1435667421
697	0.1433391146
698	0.1431898341
699	0.1430026627
700	0.1428701586
701	0.1427608046
702	0.142707725
703	0.1426051406
704	0.1424744748
705	0.1424719926
706	0.142390784
707	0.1422663979
708	0.1421861779
709	0.142134933
710	0.1419841344
711	0.1418753795
712	0.1417233737
713	0.1414871508
714	0.1413949673
715	0.1412490083
716	0.1410965872
717	0.1409758331
718	0.1407372167
719	0.1406737776
720	0.1405917493
721	0.1404408922
722	0.1402795792
723	0.1399868483
724	0.1399660693
725	0.1397770741
726	0.1396777833
727	0.1394726832
728	0.1392746418
729	0.1391791064
730	0.1390495127
731	0.1388414684
732	0.1388238707
733	0.1386452573
734	0.1385078385
735	0.1383304119
736	0.1380893941
737	0.137958339
738	0.1378095159
739	0.1375891424
740	0.1374731937
741	0.1372601888
742	0.1370297542
743	0.1369163606
744	0.1367788821
745	0.1366031076
746	0.1365429409
747	0.1364081904
748	0.1360789603
749	0.1359240445
750	0.1357057464
751	0.135544791
752	0.1354406611
753	0.1353990757
754	0.1351296903
755	0.1350877045
756	0.1349379968
757	0.1346904065
758	0.1345471704
759	0.1344712028
760	0.1344417964
761	0.134312059
762	0.1342110902
763	0.134172692
764	0.1338966568
765	0.1337370643
766	0.1335579881
767	0.1331912029
768	0.1329295959
769	0.1328267362
770	0.1327260925
771	0.1326190413
772	0.1326005023
773	0.132481902
774	0.1323763646
775	0.1321797233
776	0.1320957843
777	0.1318929957
778	0.13177047
779	0.1314799526
780	0.1312645136
781	0.1311306465
782	0.1309583164
783	0.1308616629
784	0.1307685472
785	0.1306577729
786	0.1306337982
787	0.1304081584
788	0.1302952092
789	0.1301515857
790	0.129955355
791	0.129919537
792	0.1297227935
793	0.1297082595
794	0.1296025833
795	0.1293808822
796	0.1293246372
797	0.1291990843
798	0.1290241451
799	0.1289529718
800	0.1287427402
801	0.1286010678
802	0.1285913046
803	0.12840177
804	0.1283018696
805	0.1282386295
806	0.1279615856
807	0.1277953188
808	0.1277244184
809	0.1275166154
810	0.1274021846
811	0.1272189478
812	0.1270316472
813	0.1269936196
814	0.1269324854
815	0.1267040395
816	0.1265268355
817	0.1264347344
818	0.1262363892
819	0.1260404644
820	0.1259505214
821	0.125893335
822	0.125814296
823	0.1257716541
824	0.125686893
825	0.1253393529
826	0.1251993248
827	0.1249953345
828	0.124822138
829	0.1247204022
830	0.1246357368
831	0.1245545266
832	0.1244379882
833	0.1242431339
834	0.1241152022
835	0.1240388243
836	0.123953825
837	0.1237649666
838	0.1237208586
839	0.1236683396
840	0.1234772901
841	0.123376017
842	0.1232740915
843	0.1231691431
844	0.1230187326
845	0.1229455249
846	0.1227952371
847	0.1226566525
848	0.1224853936
849	0.1223981274
850	0.122374462
851	0.1222830485
852	0.1221491833
853	0.1218775387
854	0.1217517339
855	0.1215034683
856	0.1213718293
857	0.1212041601
858	0.1211111041
859	0.1209793691
860	0.1208145813
861	0.1207411027
862	0.1206685816
863	0.1205950193
864	0.1205293415
865	0.1203737676
866	0.1203453749
867	0.1202708664
868	0.1201679951
869	0.1199355869
870	0.1198472142
871	0.1197162592
872	0.1195431134
873	0.1194580805
874	0.1192974287
875	0.119178665
876	0.119080795
877	0.1190014728
878	0.1188379141
879	0.1187740006
880	0.1186660004
881	0.1186212551
882	0.1185599323
883	0.1183982848
884	0.1183468063
885	0.1182966149
886	0.1182375097
887	0.1181824713
888	0.1181370045
889	0.1180923981
890	0.1180392225
891	0.1179576777
892	0.1178317733
893	0.1177404767
894	0.1176634923
895	0.1175819701
896	0.117406143
897	0.1173238908
898	0.1172677944
899	0.1171077998
900	0.116989
901	0.1169208856
902	0.1168789553
903	0.1168500667
904	0.1167375509
905	0.1166330084
906	0.1165023939
907	0.1164079202
908	0.1161779799
909	0.1161292898
910	0.1160759057
911	0.115972803
912	0.1159099398
913	0.1158489067
914	0.1157717892
915	0.1156134453
916	0.1154230404
917	0.1153518862
918	0.115311391
919	0.1152016326
920	0.1150802324
921	0.1150101923
922	0.1148902711
923	0.1147115245
924	0.1145878161
925	0.1144680037
926	0.1143926912
927	0.1140880881
928	0.1138683647
929	0.1138225159
930	0.1137730759
931	0.1136547764
932	0.1135879513
933	0.1134937381
934	0.1132960375
935	0.1132225228
936	0.1131037434
937	0.1129701203
938	0.1128611704
939	0.1127421864
940	0.1126443869
941	0.1125572496
942	0.1125099865
943	0.1124828442
944	0.1124355573
945	0.1124034721
946	0.1123366111
947	0.1123072113
948	0.1122410104
949	0.1121774792
950	0.1121229441
951	0.1120497618
952	0.1120057248
953	0.1119113201
954	0.1118199822
955	0.1117734391
956	0.1117165633
957	0.1115237968
958	0.1114466216
959	0.1113550442
960	0.1112273231
961	0.1111815827
962	0.111170714
963	0.1110589421
964	0.1109292865
965	0.110826451
966	0.1107367539
967	0.1105403348
968	0.1104284796
969	0.1103076013
970	0.1102406999
971	0.110163735
972	0.1100781789
973	0.1100201787
974	0.1099761108
975	0.1099266471
976	0.1097119551
977	0.1096247236
978	0.1095122636
979	0.1094016224
980	0.1092342556
981	0.1090008197
982	0.1089062131
983	0.1088884993
984	0.1088208587
985	0.1087297166
986	0.1086531846
987	0.1085009388
988	0.1084009377
989	0.1083163751
990	0.1081664241
991	0.1081567398
992	0.1080536011
993	0.1079911191
994	0.1078338524
995	0.1077805391
996	0.1077115188
997	0.1076545874
998	0.1075554328
999	0.1074031395
